rule_id,object_type,question_or_condition,input_value,output_code,output_namespace,explanation,standard_reference,warning_code_if_any,status
R-SEC-001,section,"Is the cross-section profile open, closed (hollow), or solid?",OPEN,,,"An open profile was selected, so the open-form families apply.",Taxonomy Standard draft Part 13.3 (node S1),,ACTIVE
R-SEC-002,section,"Is the cross-section profile open, closed (hollow), or solid?",CLOSED,HSS,SEC,A closed single-cell hollow resolves to HSS in this demo subset (the full standard resolves further to RHS / SHS / CHS).,Taxonomy Standard draft Part 3.2 (HSS superclass; leaves RHS/SHS/CHS),,DEMO
R-SEC-003,section,"Is the cross-section profile open, closed (hollow), or solid?",SOLID,PLT,SEC,A solid rectangular profile is plate/flat stock: PLT.,Taxonomy Standard draft Part 3.2 (PLT),,ACTIVE
R-SEC-004,section,Which open form is it?,C_FORM,,,A C-form open profile was selected; lip condition decides the terminal code.,Taxonomy Standard draft Part 13.3 (node S2),,ACTIVE
R-SEC-005,section,Which open form is it?,Z_FORM,ZED,SEC,A Z-form profile resolves to ZED in this demo subset (SNAP-1.0.0 splits the Z family into ZLP / ZUN under the ZEE rollup).,Taxonomy Standard draft Part 3.2 (ZEE superclass; leaves ZLP/ZUN),,DEMO
R-SEC-006,section,Which open form is it?,L_FORM,ANG,SEC,A two-leg L profile is an angle: ANG.,Taxonomy Standard draft Part 3.2 (ANG),,ACTIVE
R-SEC-007,section,Are there stiffening lips on the flange ends?,NONE,OCU,SEC,"No lip elements: open C unlipped, OCU.",Taxonomy Standard draft Part 3.1 (Ruling R2),,ACTIVE
R-SEC-008,section,Are there stiffening lips on the flange ends?,SIMPLE_LIP,OCL,SEC,"One stiffening lip fold per flange: open C lipped, OCL.",Taxonomy Standard draft Part 3.1 (Ruling R1),,ACTIVE
R-WRN-201,section,Are there stiffening lips on the flange ends?,UNKNOWN,OCS,SEC,Lip condition could not be determined; the engine refuses to guess (determinism rule P7).,Taxonomy Standard draft Part 3.1 (Ruling R3); Part 13.7 (W-201); principle P7,W-201,ACTIVE
R-ROL-001,component,What functional role does this part play?,COL,COL,ROL,The part carries vertical load as an upright: role COL.,Taxonomy Standard draft Part 3.3 (component roles),,ACTIVE
R-ROL-002,component,What functional role does this part play?,BEM,BEM,ROL,The part spans horizontally carrying load: role BEM.,Taxonomy Standard draft Part 3.3 (component roles),,ACTIVE
R-ROL-003,component,What functional role does this part play?,ARM,ARM,ROL,The part projects from a column to carry load: role ARM.,Taxonomy Standard draft Part 3.3 (component roles),,ACTIVE
R-ROL-004,component,What functional role does this part play?,CHL,CHL,ROL,The part stiffens/supports a deck or panel: role CHL (SNAP-1.0.0 names this role DKS).,Taxonomy Standard draft Part 3.3 (SNAP-1.0.0 role: DKS),,DEMO
R-ROL-005,component,Is it a prismatic member (constant cross-section along its length)?,YES,,,Prismatic member: its cross-section is classified next and referenced by the component.,Taxonomy Standard draft §4.9 (prismatic test); rule G-3,,ACTIVE
R-ROL-006,component,Is it a prismatic member (constant cross-section along its length)?,NO,,,Non-prismatic parts carry no section reference; role classification is complete.,Taxonomy Standard draft §4.9 (component without section reference),,ACTIVE
R-ASM-001,assembly,What kind of assemblage is it?,MESH_DECK,WDK,ASM,Mesh joined to distinct-role support members: assembly type WDK.,Taxonomy Standard draft Part 3.4 (WDK); §4.9 (assembly test),,ACTIVE
R-ASM-002,assembly,What kind of assemblage is it?,BRACED_FRAME,FRM,ASM,Columns joined by bracing with distinct roles: assembly type FRM.,Taxonomy Standard draft Part 3.4 (FRM); §4.9 (assembly test),,ACTIVE
R-CFG-001,assembly,Front edge condition of the deck?,FLUSH,front=FLUSH,CFG:EDG,"Front edge FLUSH recorded as configuration (CFG:EDG) — variation lives in fields, not codes (rule P5).",Taxonomy Standard draft P5; Part 3.6 (CFG:EDG),,ACTIVE
R-CFG-002,assembly,Front edge condition of the deck?,WATERFALL,front=WATERFALL,CFG:EDG,"Front edge WATERFALL recorded as configuration (CFG:EDG) — variation lives in fields, not codes (rule P5).",Taxonomy Standard draft P5; Part 3.6 (CFG:EDG),,ACTIVE
R-CFG-003,assembly,How many support channels?,TWO,support_count=2,CFG:SUP,Support count 2 recorded as configuration (CFG:SUP).,Taxonomy Standard draft P5; rule D-6; Part 3.6 (CFG:SUP),,ACTIVE
R-CFG-004,assembly,How many support channels?,THREE,support_count=3,CFG:SUP,Support count 3 recorded as configuration (CFG:SUP).,Taxonomy Standard draft P5; rule D-6; Part 3.6 (CFG:SUP),,ACTIVE
R-CFG-005,assembly,How many support channels?,FOUR,support_count=4,CFG:SUP,Support count 4 recorded as configuration (CFG:SUP).,Taxonomy Standard draft P5; rule D-6; Part 3.6 (CFG:SUP),,ACTIVE
R-CFG-006,assembly,How is the bracing joined to the columns?,BOLT,brace_to_column=BOLT,CFG:JNT,Bolted bracing recorded as configuration (CFG:JNT).,Taxonomy Standard draft P5; rule D-6; Part 3.6 (CFG:JNT),,ACTIVE
R-CFG-007,assembly,How is the bracing joined to the columns?,FUSION_WELD,brace_to_column=FUSION_WELD,CFG:JNT,Welded bracing recorded as configuration (CFG:JNT).,Taxonomy Standard draft P5; rule D-6; Part 3.6 (CFG:JNT),,ACTIVE
